Geneid	AY31	AY32	AY33	AY34	AY35	AY36	AY37	AY38	AY39	AY40	AY41	AY42 	AY1	AY2	AY3	AY4	AY5	AY6	AY7	AY8	AY9	AY10	AY11	AY12
YNL269W	99	324	72.25	501.5	9	13.25	10	6.33	89.25	117.75	88.5	79.5	91	182	466.83	495.5	12	9	19	24.3	38	70	55	103.12
YNR020C	56.61	30	59.39	62	74.25	61	72	62	57	56.33	56.53	36.17	45.25	125.06	70.58	46	91	104.5	113.9	114.85	33.25	48	26	56.39
YNL041C	1258.95	880.09	1144.37	1145.42	2052.15	1560.23	1873.27	1464.67	1329.58	1233.6	1748.18	874.75	758.2	1778.05	641.97	654.98	1710.44	1252.15	1321.4	1675.79	469.39	729.16	456.5	677.14
YNL234W	206.12	191.17	289.36	201.49	640.55	516.28	589.07	452.2	309.54	337.61	282.06	249.17	75.5	279.27	135.08	161	313.5	220.38	436.87	561.82	114.17	103	189.61	277.47
YNL165W	219.58	279.87	226.6	377.81	416.5	369	366.35	313.06	238.5	436.5	280.17	273.25	135.53	393.89	262.38	276.47	359	297.75	365.18	488.73	104.25	135.57	203	334.52
YNL116W	522.94	615.45	483.89	662.65	850.21	774.49	755.59	689.33	611.56	698.26	760.9	577.56	278.75	852.79	456.34	506.83	670.78	588.56	697.96	873.67	279.04	369.08	265.68	386.65
YNL008C	739.06	587.15	724.79	791.44	1338.3	1126.25	1239.17	1002.81	876.57	843.83	952.7	677.53	470.67	1135.82	530.46	548.22	999.61	993.08	1056.99	1582.65	342.17	474	354.25	593.85
YNL309W	323.31	391	310.11	519	647.06	663.75	627.12	621.25	331.5	546	434.06	370	207	622	329.83	409.69	696.75	623.5	716.81	857.25	195.83	281.5	251.5	350.06
YNR015W	482.87	374.8	496	503.78	960.33	815.55	828.31	659.54	579.15	651.67	525.64	535.52	320	955.12	399.17	431.14	771.33	845.33	872.2	1183.46	274.83	359	249.1	574.49
YNR075W	429.07	275.6	489.5	390.25	608	429.38	520	369.07	525.17	436.27	526	318.64	299.5	859.33	267.33	261.67	618.07	621.7	344.46	561	265	418	169.5	292.5
YNL025C	628.5	507.51	621	559.08	1054.23	850	1063.67	759.5	752.17	693.25	864.38	459.75	290.11	767.42	302.17	348.38	844.12	645.74	720	1065.67	249	401.25	262.52	411.75
YNL058C	266.5	1947.26	221.25	2346.63	167.67	263.7	176.89	236.2	212.17	1918.02	216	1388.75	112.45	324	1896.7	1955.81	153.53	99.42	236.5	280.23	75	99	923.58	1345.75
YNL313C	868.14	531.46	957.42	639.04	1529.65	1333.72	1329.7	1070.71	971.78	846.67	1016.15	553.83	503.5	1511.97	414.81	433.62	1268	1221.25	1297.57	1822	441	483.88	363	671.67
YNL122C	111.5	55	114	76	178	161	172.5	153	110	62.35	139.5	54	104	298	67.33	55	237.62	211	240.25	263.17	109	86	47.1	83.13
YNL094W	1066.78	1521.29	1150.1	1890.38	1862.4	1799.96	1708.62	1511	1301.5	2220.25	1412.79	1685.03	723.83	1741.86	1467.78	1530.33	1649.6	1420.17	1779.58	2382.68	574.38	785.33	1059.06	1667.92
